New frame
Conqueror: 19 66
Conqueror: 18 65
Conqueror: 46 54
Conqueror: 25 54
Conqueror: 40 53
Conqueror: 25 100
Conqueror: 49 83
Conqueror: 40 39
Conqueror: 8 46
Conqueror: 25 42
Conqueror: 8 37
Conqueror: 7 84
Conqueror: 21 27
Conqueror: 4 76
Conqueror: 30 54
Conqueror: 7 54
Conqueror: 8 26
Conqueror: 20 26
Conqueror: 8 28
Conqueror: 4 97
Conqueror: 21 23
Conqueror: 25 23
Conqueror: 25 23
Conqueror: 8 23
Conqueror: 8 89
Conqueror: 100 100
Conqueror: 6 100
Conqueror: 8 65
Conqueror: 49 65
Conqueror: 6 122
Conqueror: 6 43
Conqueror: 4 43
Conqueror: 10 20
Conqueror: 24 20
Conqueror: 8 23
Conqueror: 15 22
Conqueror: 8 20
Conqueror: 15 54
Conqueror: 8 54
Conqueror: 0 81
Conqueror: 6 81
Conqueror: 21 66
Conqueror: 20 65
Conqueror: 48 54
Conqueror: 29 54
Conqueror: 56 83
Conqueror: 11 84
Conqueror: 11 46
Conqueror: 7 76
Conqueror: 11 37
Conqueror: 8 97
Conqueror: 36 54
Conqueror: 11 54
Conqueror: 25 27
Conqueror: 13 122
Conqueror: 16 89
Conqueror: 16 65
Conqueror: 56 65
Conqueror: 12 28
Conqueror: 9 43
Conqueror: 7 43
Conqueror: 22 54
Conqueror: 16 54
Conqueror: 22 22
Conqueror: 14 20
Conqueror: 7 81
Conqueror: 13 81
Conqueror: 25 23
Conqueror: 4 23
Conqueror: 29 42
Conqueror: 2 42
Conqueror: 2 29
Conqueror: 2 30
Conqueror: 2 23
Conqueror: 1 66
Conqueror: 1 58
Conqueror: 11 26
Conqueror: 1 26
Conqueror: 24 26
Conqueror: 0 53
Conqueror: 0 23
Conqueror: 14 23
Conqueror: 29 100
Conqueror: 0 0
Conqueror: 13 0
Conqueror: 23 66
Conqueror: 22 65
Conqueror: 50 54
Conqueror: 33 54
Conqueror: 63 83
Conqueror: 10 76
Conqueror: 15 84
Conqueror: 14 46
Conqueror: 12 97
Conqueror: 14 37
Conqueror: 42 54
Conqueror: 15 54
Conqueror: 24 89
Conqueror: 13 128
Conqueror: 24 65
Conqueror: 63 65
Conqueror: 33 100
Conqueror: 13 100
Conqueror: 12 43
Conqueror: 10 43
Conqueror: 16 28
Conqueror: 5 66
Conqueror: 33 42
Conqueror: 7 42
Conqueror: 5 58
Conqueror: 4 53
Conqueror: 7 29
Conqueror: 8 30
Conqueror: 14 26
Conqueror: 5 26
Conqueror: 28 26
Conqueror: 6 23
Conqueror: 20 23
Conqueror: 2 23
Conqueror: 2 23
Conqueror: 8 23
Conqueror: 0 27
